experiment	freq
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_WSUNHL', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_A204', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_A549', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_ASPC1', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_BXPC3', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_COLO205'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_DU145', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_HEPG2'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_HL60', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_HT29'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_IGROV1', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_LOVO', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_MDAMB231'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_MDAMB435', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_MDAMB436'})	4
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'VX803_M4344', 'VX970_Berzosertib_M6620'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_MIAPACA2', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_MV411', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_NCIH460', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_PANC1', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_RAMOS'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_RDES'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_SAOS2', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_SW620'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_U2OS', 'VX803_M4344'})	4
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'VX803_M4344', 'VX970_Berzosertib_M6620'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_WSUNHL', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_A204', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_A549', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_ASPC1', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_BXPC3', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_COLO205', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_DU145', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_HEPG2', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_HL60', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_HT29', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_IGROV1', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_LOVO', 'PD0332991_Palbociclib'})	2
