experiment	freq
frozenset({nan, 'ONCOLEAD_CELL_WSUNHL', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_A204'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_A2780'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_A549'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_ASPC1'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_BXPC3'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_CACO2'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_COLO205'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_DLD1'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_DU145'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_EFO21'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_EJ28'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_HCT15'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_HEPG2'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_HL60'})	6
frozenset({nan, 'ONCOLEAD_CELL_HS578T', 'M3541'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_HS729'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_HT1080'})	6
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_HT29'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_IGROV1'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_J82'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_JIMT1'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_KASUMI1'})	4
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_L363'})	4
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_LOVO'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MDAMB231'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MDAMB435'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MDAMB436'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MDAMB468'})	5
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'M3541'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MIAPACA2'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MINO'})	4
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MT3'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MV411'})	6
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_NCIH292'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_NCIH358M'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_NCIH460'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_NCIH82'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_OVCAR3'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_OVCAR4'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_PANC1'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_PC3'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_PLCPRF5'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_RAMOS'})	6
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_RD'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_RDES'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SAOS2'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SF268'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SF295'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SKBR3'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SKLMS1'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SKMEL28'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SKMEL5'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SUDHL10'})	4
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SUDHL6'})	4
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SW620'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_T24'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_TE671'})	5
frozenset({nan, 'ONCOLEAD_CELL_THP1', 'M3541'})	4
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_U2OS'})	7
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'M3541'})	7
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_UMUC3'})	5
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_WSUNHL'})	6
frozenset({nan, 'ONCOLEAD_CELL_A204', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_A2780', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_A549', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_ASPC1', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_BXPC3', 'M3814'})	7
frozenset({nan, 'M3814', 'ONCOLEAD_CELL_CACO2'})	5
frozenset({nan, 'ONCOLEAD_CELL_COLO205', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_DLD1', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_DU145', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_EFO21', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_EJ28', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_HCT15', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_HEPG2', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_HL60', 'M3814'})	6
frozenset({nan, 'ONCOLEAD_CELL_HS578T', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_HS729', 'M3814'})	5
frozenset({nan, 'M3814', 'ONCOLEAD_CELL_HT1080'})	6
frozenset({nan, 'ONCOLEAD_CELL_HT29', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_IGROV1', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_J82', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_JIMT1', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_KASUMI1', 'M3814'})	4
frozenset({nan, 'ONCOLEAD_CELL_L363', 'M3814'})	4
frozenset({nan, 'ONCOLEAD_CELL_LOVO', 'M3814'})	7
frozenset({nan, 'M3814', 'ONCOLEAD_CELL_MDAMB231'})	7
frozenset({nan, 'ONCOLEAD_CELL_MDAMB435', 'M3814'})	7
frozenset({nan, 'M3814', 'ONCOLEAD_CELL_MDAMB436'})	7
frozenset({nan, 'ONCOLEAD_CELL_MDAMB468', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_MIAPACA2', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_MINO', 'M3814'})	4
frozenset({nan, 'ONCOLEAD_CELL_MT3', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_MV411', 'M3814'})	6
frozenset({nan, 'ONCOLEAD_CELL_NCIH292', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_NCIH358M', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_NCIH460', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_NCIH82', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_OVCAR3', 'M3814'})	5
frozenset({nan, 'M3814', 'ONCOLEAD_CELL_OVCAR4'})	5
frozenset({nan, 'ONCOLEAD_CELL_PANC1', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_PC3', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_PLCPRF5', 'M3814'})	5
frozenset({nan, 'ONCOLEAD_CELL_RAMOS', 'M3814'})	6
frozenset({nan, 'ONCOLEAD_CELL_RD', 'M3814'})	5
frozenset({nan, 'M3814', 'ONCOLEAD_CELL_RDES'})	7
frozenset({nan, 'ONCOLEAD_CELL_SAOS2', 'M3814'})	7
frozenset({nan, 'ONCOLEAD_CELL_SF268', 'M3814'})	5
